Year;SSP1;SSP2;SSP3;SSP4;SSP5
2020;37,79;37,79;37,79;37,79;37,79
2021;38,0179;38,23724;38,86127;38,1746;38,47204
2022;38,285064;38,71131;39,967267;38,664247;39,294306
2023;38,5795856;39,2121809;41,0914033;39,2445112;40,2424145
2024;38,89192438;39,73877813;42,22025736;39,90116771;41,30228509
2025;39,21460339;40,28915763;43,34316036;40,62020551;42,46029775
2026;39,54175468;40,86070141;44,45164387;41,38820513;43,703402
2027;39,86903902;41,45047763;45,53922134;42,19213076;45,01918769
2028;40,19314361;42,05511716;46,60095703;43,01967789;46,39581132
2029;40,51175203;42,67115606;47,63317261;43,85913151;47,82227591
2030;40,82333477;43,29490469;48,63339673;44,69934937;49,28823542
2031;41,12707631;43,92288642;49,59993721;45,529942;50,78402565
2032;41,42205466;44,55159472;50,53197048;46,34150248;52,3010687
2033;41,70537128;45,17944476;51,42921203;47,12788231;53,83386365
2034;41,97354839;45,80533784;52,2920937;47,8841939;55,37864159
2035;42,22295393;46,42839568;53,12130404;48,6066363;56,93223249
2036;42,44999098;47,04830933;53,9178427;49,29198757;58,49245334
2037;42,65105322;47,66467052;54,68295151;49,93780033;60,05760658
2038;42,82254464;48,27740725;55,41814214;50,5418951;61,62661584
2039;42,96072032;48,88651128;56,12498348;51,10276904;63,19886238
2040;43,06212123;49,49218012;56,80514232;51,61910657;64,77411106
2041;43,12324438;50,09471254;57,46052996;52,08997023;66,35235795
2042;43,14189075;50,69421863;58,09283684;52,51547521;67,93422153
2043;43,12188267;51,2906798;58,70358614;52,89861098;69,5210997
2044;43,06873575;51,88392906;59,29447787;53,24366617;71,11496994
2045;42,98825559;52,47372846;59,86701553;53,55500052;72,71799295
2046;42,88637441;53,05985423;60,4228637;53,83725617;74,33219437
2047;42,76937397;53,64228178;60,96328387;54,09521757;75,95998887
2048;42,64346751;54,22090417;61,48997037;54,3337711;77,60388052
2049;42,51513885;54,79543043;62,00429978;54,55787278;79,26625054
2050;42,39073592;55,36585692;62,5076079;54,77242672;80,94971778
2051;42,27682835;55,93199144;63,00138155;54,98245513;82,65684075
2052;42,17816654;56,49354352;63,48658643;55,19182957;84,38904154
2053;42,09366218;57,04915234;63,96414288;55,39945878;86,14337784
2054;42,02027799;57,597244;64,43453909;55,60299648;87,91558115
2055;41,9548702;58,13622649;64,89812014;55,79990961;89,70131738
2056;41,89440325;58,66449251;65,35548111;55,98788203;91,49639511
2057;41,8356741;59,18042168;65,80698388;56,16404607;93,29638614
2058;41,77522588;59,68238229;66,25295388;56,32596857;95,09682753
2059;41,70994697;60,16883107;66,69368282;56,47097574;96,89342479
2060;41,63639395;60,63792098;67,12962826;56,59625659;98,68146753
2061;41,55119108;61,08819042;67,56092409;56,69906524;100,4567182
2062;41,45083944;61,5194561;67,98787444;56,77652896;102,2152214
2063;41,33142456;61,9386575;68,41046249;56,8256516;103,9555825
2064;41,18901446;62,35405151;68,82874673;56,8433165;105,6769036
2065;41,01956429;62,77402041;69,24276433;56,82618993;107,3785856
2066;40,81901817;63,20716318;69,65253288;56,77111965;109,0597319
2067;40,58351025;63,66189248;70,05795262;56,67493949;110,7195427
2068;40,30906932;64,14672659;70,45900636;56,53437176;112,3573135
2069;39,99142114;64,66998746;70,85556228;56,34622731;113,9722362
2070;39,6266851;65,24029446;71,2475739;56,10730766;115,5633969
2071;39,21087869;65,86616472;71,63498195;55,81420697;117,1300742
2072;38,74200912;66,55292416;72,0179146;55,46580201;118,6695483
2073;38,22615514;67,29443079;72,39768503;55,06843832;120,171517
2074;37,67150205;68,08132564;72,77589759;54,63076158;121,6234644
2075;37,08654732;68,90422252;73,15414944;54,16122614;123,0131527
2076;36,47929977;69,75391272;73,53383136;53,66829107;124,3282271
2077;35,85807403;70,62097053;73,9167263;53,16061727;125,5564181
2078;35,2312892;71,49595602;74,30431174;52,64646718;126,6851448
2079;34,60706801;72,3695177;74,69805905;52,13460115;127,7020155
2080;33,99363439;73,23229517;75,09953369;51,63337852;128,594829
2081;33,39941244;74,07482116;75,51039563;51,15125571;129,3509777
2082;32,83082898;74,88952002;75,93160098;50,69518811;129,9618411
2083;32,28781743;75,6752045;76,36310216;50,26493614;130,4333761
2084;31,76820818;76,43268578;76,80424719;49,85865404;130,7751394
2085;31,2701257;77,16257673;77,25437921;49,47438833;130,9967917
2086;30,79168981;77,86579084;77,71313676;49,11037865;131,1079957
2087;30,33081672;78,5427427;78,17975496;48,76465912;131,1185147
2088;29,88551928;79,19444663;78,65366528;48,43545879;131,0378119
2089;29,45390762;79,8214174;79,13429611;48,12070277;130,8755488
2090;29,03388983;80,42436946;79,62107311;47,81861234;130,6415847
2091;28,62357206;81,00401696;80,11331953;47,52720589;130,3452767
2092;28,22095903;81,56107364;80,61045635;47,24469903;129,9964788
2093;27,82405428;82,09625272;81,11200251;46,96900534;129,6047421
2094;27,43086038;82,61036684;81,61717531;46,69833629;129,1797144
2095;27,03937908;83,10392816;82,12539034;46,43080182;128,7309404
2096;26,64761154;83,57774808;82,63616172;46,16451045;128,2681617
2097;26,25365837;84,03243742;83,14880231;45,89736957;127,8010165
2098;25,85541988;84,46880632;83,66262382;45,62758546;127,3389402
2099;25,45099601;84,88756432;84,17713681;45,35336355;126,8917653
2100;25,03838651;85,28932034;84,69165095;45,07250861;126,4690217
