year,scenario,emissions_gtco2
2020,SSP1,37.79
2021,SSP1,38.0179
2022,SSP1,38.285064
2023,SSP1,38.5795856
2024,SSP1,38.89192438
2025,SSP1,39.21460339
2026,SSP1,39.54175468
2027,SSP1,39.86903902
2028,SSP1,40.19314361
2029,SSP1,40.51175203
2030,SSP1,40.82333477
2031,SSP1,41.12707631
2032,SSP1,41.42205466
2033,SSP1,41.70537128
2034,SSP1,41.97354839
2035,SSP1,42.22295393
2036,SSP1,42.44999098
2037,SSP1,42.65105322
2038,SSP1,42.82254464
2039,SSP1,42.96072032
2040,SSP1,43.06212123
2041,SSP1,43.12324438
2042,SSP1,43.14189075
2043,SSP1,43.12188267
2044,SSP1,43.06873575
2045,SSP1,42.98825559
2046,SSP1,42.88637441
2047,SSP1,42.76937397
2048,SSP1,42.64346751
2049,SSP1,42.51513885
2050,SSP1,42.39073592
2051,SSP1,42.27682835
2052,SSP1,42.17816654
2053,SSP1,42.09366218
2054,SSP1,42.02027799
2055,SSP1,41.9548702
2056,SSP1,41.89440325
2057,SSP1,41.8356741
2058,SSP1,41.77522588
2059,SSP1,41.70994697
2060,SSP1,41.63639395
2061,SSP1,41.55119108
2062,SSP1,41.45083944
2063,SSP1,41.33142456
2064,SSP1,41.18901446
2065,SSP1,41.01956429
2066,SSP1,40.81901817
2067,SSP1,40.58351025
2068,SSP1,40.30906932
2069,SSP1,39.99142114
2070,SSP1,39.6266851
2071,SSP1,39.21087869
2072,SSP1,38.74200912
2073,SSP1,38.22615514
2074,SSP1,37.67150205
2075,SSP1,37.08654732
2076,SSP1,36.47929977
2077,SSP1,35.85807403
2078,SSP1,35.2312892
2079,SSP1,34.60706801
2080,SSP1,33.99363439
2081,SSP1,33.39941244
2082,SSP1,32.83082898
2083,SSP1,32.28781743
2084,SSP1,31.76820818
2085,SSP1,31.2701257
2086,SSP1,30.79168981
2087,SSP1,30.33081672
2088,SSP1,29.88551928
2089,SSP1,29.45390762
2090,SSP1,29.03388983
2091,SSP1,28.62357206
2092,SSP1,28.22095903
2093,SSP1,27.82405428
2094,SSP1,27.43086038
2095,SSP1,27.03937908
2096,SSP1,26.64761154
2097,SSP1,26.25365837
2098,SSP1,25.85541988
2099,SSP1,25.45099601
2100,SSP1,25.03838651
2020,SSP2,37.79
2021,SSP2,38.23724
2022,SSP2,38.71131
2023,SSP2,39.2121809
2024,SSP2,39.73877813
2025,SSP2,40.28915763
2026,SSP2,40.86070141
2027,SSP2,41.45047763
2028,SSP2,42.05511716
2029,SSP2,42.67115606
2030,SSP2,43.29490469
2031,SSP2,43.92288642
2032,SSP2,44.55159472
2033,SSP2,45.17944476
2034,SSP2,45.80533784
2035,SSP2,46.42839568
2036,SSP2,47.04830933
2037,SSP2,47.66467052
2038,SSP2,48.27740725
2039,SSP2,48.88651128
2040,SSP2,49.49218012
2041,SSP2,50.09471254
2042,SSP2,50.69421863
2043,SSP2,51.2906798
2044,SSP2,51.88392906
2045,SSP2,52.47372846
2046,SSP2,53.05985423
2047,SSP2,53.64228178
2048,SSP2,54.22090417
2049,SSP2,54.79543043
2050,SSP2,55.36585692
2051,SSP2,55.93199144
2052,SSP2,56.49354352
2053,SSP2,57.04915234
2054,SSP2,57.597244
2055,SSP2,58.13622649
2056,SSP2,58.66449251
2057,SSP2,59.18042168
2058,SSP2,59.68238229
2059,SSP2,60.16883107
2060,SSP2,60.63792098
2061,SSP2,61.08819042
2062,SSP2,61.5194561
2063,SSP2,61.9386575
2064,SSP2,62.35405151
2065,SSP2,62.77402041
2066,SSP2,63.20716318
2067,SSP2,63.66189248
2068,SSP2,64.14672659
2069,SSP2,64.66998746
2070,SSP2,65.24029446
2071,SSP2,65.86616472
2072,SSP2,66.55292416
2073,SSP2,67.29443079
2074,SSP2,68.08132564
2075,SSP2,68.90422252
2076,SSP2,69.75391272
2077,SSP2,70.62097053
2078,SSP2,71.49595602
2079,SSP2,72.3695177
2080,SSP2,73.23229517
2081,SSP2,74.07482116
2082,SSP2,74.88952002
