year,scenario,carbon_price_usd,emissions_gtco2,temp_increase_c
2020,CurrentPolicies,0,53.0,0.8
2020,NetZero2050,50,53.0,0.8
2020,DisorderedTransition,0,53.0,0.8
2021,CurrentPolicies,0,52.894,0.8350000000000001
2021,NetZero2050,55,50.879999999999995,0.8150000000000001
2021,DisorderedTransition,0,52.947,0.8320000000000001
2022,CurrentPolicies,0,52.788,0.8700000000000001
2022,NetZero2050,60,48.760000000000005,0.8300000000000001
2022,DisorderedTransition,0,52.894,0.8640000000000001
2023,CurrentPolicies,0,52.682,0.905
2023,NetZero2050,65,46.64,0.8450000000000001
2023,DisorderedTransition,0,52.841,0.896
2024,CurrentPolicies,0,52.576,0.9400000000000001
2024,NetZero2050,70,44.519999999999996,0.8600000000000001
2024,DisorderedTransition,0,52.788,0.928
2025,CurrentPolicies,0,52.47,0.9750000000000001
2025,NetZero2050,75,42.400000000000006,0.875
2025,DisorderedTransition,0,52.735,0.9600000000000001
2026,CurrentPolicies,0,52.364,1.01
2026,NetZero2050,80,40.28,0.89
2026,DisorderedTransition,0,52.682,0.992
2027,CurrentPolicies,0,52.258,1.0450000000000002
2027,NetZero2050,85,38.16,0.905
2027,DisorderedTransition,0,52.629,1.024
2028,CurrentPolicies,0,52.152,1.08
2028,NetZero2050,90,36.04,0.92
2028,DisorderedTransition,0,52.576,1.056
2029,CurrentPolicies,0,52.046,1.1150000000000002
2029,NetZero2050,95,33.92,0.935
2029,DisorderedTransition,0,52.522999999999996,1.088
2030,CurrentPolicies,0,51.94,1.1500000000000001
2030,NetZero2050,100,31.799999999999997,0.9500000000000001
2030,DisorderedTransition,0,52.47,1.12
2031,CurrentPolicies,0,51.833999999999996,1.185
2031,NetZero2050,105,29.680000000000003,0.9650000000000001
2031,DisorderedTransition,0,52.417,1.1520000000000001
2032,CurrentPolicies,0,51.728,1.2200000000000002
2032,NetZero2050,110,27.560000000000002,0.98
2032,DisorderedTransition,0,52.364,1.1840000000000002
2033,CurrentPolicies,0,51.622,1.2550000000000001
2033,NetZero2050,115,25.439999999999998,0.9950000000000001
2033,DisorderedTransition,0,52.311,1.2160000000000002
2034,CurrentPolicies,0,51.516,1.29
2034,NetZero2050,120,23.319999999999997,1.01
2034,DisorderedTransition,0,52.258,1.248
2035,CurrentPolicies,0,51.41,1.3250000000000002
2035,NetZero2050,125,21.200000000000003,1.025
2035,DisorderedTransition,0,60.949999999999996,1.28
2036,CurrentPolicies,0,51.304,1.36
2036,NetZero2050,130,19.08,1.04
2036,DisorderedTransition,0,57.902499999999996,1.312
2037,CurrentPolicies,0,51.198,1.395
2037,NetZero2050,135,16.959999999999997,1.0550000000000002
2037,DisorderedTransition,0,54.855,1.344
2038,CurrentPolicies,0,51.092,1.4300000000000002
2038,NetZero2050,140,14.840000000000002,1.07
2038,DisorderedTransition,0,51.8075,1.3760000000000001
2039,CurrentPolicies,0,50.986,1.465
2039,NetZero2050,145,12.719999999999999,1.085
2039,DisorderedTransition,0,48.76,1.408
2040,CurrentPolicies,0,50.879999999999995,1.5
2040,NetZero2050,150,10.599999999999998,1.1
2040,DisorderedTransition,0,45.7125,1.44
2041,CurrentPolicies,0,50.774,1.5350000000000001
2041,NetZero2050,155,8.480000000000002,1.115
2041,DisorderedTransition,10,42.66499999999999,1.472
2042,CurrentPolicies,0,50.668,1.57
2042,NetZero2050,160,6.359999999999999,1.13
2042,DisorderedTransition,20,39.61749999999999,1.504
2043,CurrentPolicies,0,50.562,1.605
2043,NetZero2050,165,4.2399999999999975,1.145
2043,DisorderedTransition,30,36.56999999999999,1.536
2044,CurrentPolicies,0,50.455999999999996,1.6400000000000001
2044,NetZero2050,170,2.120000000000002,1.1600000000000001
2044,DisorderedTransition,40,33.5225,1.568
2045,CurrentPolicies,0,50.349999999999994,1.6750000000000003
2045,NetZero2050,175,0.0,1.175
2045,DisorderedTransition,50,30.474999999999998,1.6
2046,CurrentPolicies,0,50.244,1.7100000000000002
2046,NetZero2050,180,0.0,1.19
2046,DisorderedTransition,60,27.427499999999995,1.6320000000000001
2047,CurrentPolicies,0,50.138,1.745
2047,NetZero2050,185,0.0,1.205
2047,DisorderedTransition,70,24.379999999999992,1.6640000000000001
2048,CurrentPolicies,0,50.032,1.7800000000000002
2048,NetZero2050,190,0.0,1.22
2048,DisorderedTransition,80,21.332499999999996,1.6960000000000002
